,,,,
Time (sec),Yaw_Front_Left (deg),Yaw_Back_Left (deg),Yaw_Back_Right (deg),Yaw_Front_Right (deg)
1.32,164.3336817,151.0531719,149.6809316,163.0777123
1.36,164.2613999,150.9785542,149.6056129,163.0052654
1.38,164.2268674,150.9430172,149.5697838,162.9706112
1.4,164.1940842,150.9090533,149.5354961,162.9377772
1.4,164.1940842,150.9090533,149.5354961,162.9377772
1.44,164.1320626,150.8450897,149.4709915,162.8755942
1.48,164.075584,150.7868402,149.412243,162.8190106
1.52,164.0232309,150.7326856,149.3576229,162.766591
1.56,163.9741331,150.6818179,149.3063508,162.7174166
1.6,163.9285367,150.6346652,149.258849,162.6717453
1.64,163.8872429,150.5921083,149.2159869,162.6304089
1.68,163.849475,150.5531291,149.1767135,162.5926558
1.69,163.8397774,150.5430908,149.1666233,162.5829302
1.72,163.8137235,150.5160685,149.1393981,162.5569107
1.76,163.7802515,150.4813765,149.1045028,162.5234292
1.8,163.749676,150.4497959,149.0727613,162.4928505
1.84,163.7222698,150.421505,149.0443158,162.4654978
1.88,163.696457,150.3946767,149.017348,162.439751
1.92,163.6719485,150.3691812,148.9917531,162.4152869
1.96,163.6493536,150.3458618,148.9683652,162.3927387
2,163.6291658,150.3251018,148.9475534,162.3726262
2.04,163.6106704,150.3059486,148.9283486,162.3542404
2.08,163.592807,150.2873151,148.9096907,162.3364663
2.12,163.5759563,150.2697902,148.8921712,162.3196899
2.16,163.5608715,150.2542271,148.8766372,162.3046859
2.2,163.5478342,150.2407941,148.8632198,162.291789
2.24,163.5349806,150.2273917,148.8498416,162.2790678
2.28,163.5225372,150.2144344,148.8369387,162.2667302
2.28,163.5225372,150.2144344,148.8369387,162.2667302
2.31,163.5142845,150.2060504,148.8286163,162.2585537
2.32,163.5112107,150.2027701,148.8253496,162.2555068
2.36,163.5015375,150.1928599,148.8155145,162.2459714
2.4,163.4924605,150.1834015,148.8061264,162.2370496
2.44,163.4833416,150.1737888,148.7966054,162.2280591
2.48,163.4746914,150.1647698,148.7876945,162.219527
2.52,163.4674451,150.1573764,148.7804199,162.2124146
2.56,163.4613114,150.1510938,148.7742374,162.2064616
2.6,163.4547767,150.1442456,148.7674982,162.2000876
2.62,163.4514005,150.1408442,148.7641797,162.1967559
2.64,163.4482671,150.1374396,148.7608245,162.193712
2.68,163.4425513,150.1315675,148.7551015,162.1881256
2.72,163.4381231,150.1270459,148.7507159,162.1838698
2.76,163.4336567,150.1223115,148.7461112,162.1795813
2.8,163.4288359,150.1171633,148.7411121,162.174908
2.84,163.4244042,150.1126304,148.7367375,162.1706212
2.88,163.4210132,150.1092797,148.7335457,162.1673959
2.92,163.4180889,150.1062738,148.7306843,162.1646648
2.93,163.4167965,150.1049322,148.7293946,162.1633899
2.96,163.4146081,150.1025233,148.7270901,162.1613506
3,163.4110605,150.0987662,148.7235059,162.1579487
3.04,163.4082322,150.095904,148.7208272,162.1552674
3.08,163.4064684,150.0941507,148.7192343,162.1537015
3.12,163.4041658,150.0916341,148.7168764,162.151586
3.16,163.4014888,150.088798,148.7142171,162.1490678
3.2,163.3991339,150.086198,148.7116651,162.1470281
3.24,163.3981543,150.0832564,148.7087861,162.1463381
3.28,163.3977973,150.0785105,148.7042605,162.146102
3.32,163.3973135,150.0706589,148.6963782,162.1459697
3.36,163.3974482,150.0597546,148.6854026,162.146477
3.4,163.3993241,150.0453851,148.6708429,162.1488332
3.44,163.4030943,150.027013,148.6525884,162.152708
3.48,163.4086205,149.999956,148.6276436,162.1558739
3.52,163.4185559,149.9574645,148.5891841,162.1611257
3.56,163.4319634,149.8993598,148.5352697,162.1696545
3.6,163.4464773,149.8324496,148.4706867,162.1815069
3.64,163.4591975,149.7496351,148.3799834,162.2036156
3.68,163.4773304,149.6351363,148.2592747,162.2288529
3.72,163.4989317,149.497688,148.1192689,162.2530079
3.76,163.5229155,149.3525034,147.982402,162.2667892
3.8,163.5391837,149.2167262,147.8547053,162.2732669
3.84,163.5461427,149.0908262,147.734626,162.2731319
3.88,163.5466413,148.96285,147.6043263,162.2758637
