"Plot20"
"Time (sec)","Reaction Force26 (newton)"
0,-0
0.04,-0
0.08,-0
0.0900672471111267,0.849424831756392
0.12,-4.3692787357094e-15
0.13194216736287,-2.5689863029381e-15
0.16,-1.6295163341874e-15
0.2,26.2916991967894
0.24,14.6942626495881
0.28,13.555521066078
0.32,13.4306477367138
0.36,13.3436663721728
0.4,13.4155039808249
0.43,13.4447330146249
0.44,13.4534901691844
0.48,13.5068147689504
0.52,13.5379159397565
0.56,13.6551930962452
0.6,13.7897300594024
0.64,13.8868004937675
0.68,13.9403471194495
0.72,13.9737267213222
0.76,14.1513940989387
0.8,14.2291888867975
0.84,14.2738305824975
0.88,14.2772044404869
0.92,14.4030502348016
0.96,14.4844900576842
1,14.524602325097
1.02,14.560249119622
1.04,14.5181136896907
1.08,14.5457984664554
1.12,14.6689290258562
1.16,14.7015113299013
1.2,14.6981976957047
1.24,14.6635853061932
1.28,14.8015288939402
1.32,14.835101740249
1.36,14.8364780225955
1.38,14.8719761723343
1.4,14.7995008186044
1.4,14.7995008186044
1.44,14.8421666293159
1.48,14.925515976403
1.52,14.933344853327
1.56,14.9032987371656
1.6,14.8525663155066
1.64,14.9940516636278
1.68,15.0051800043351
1.69,15.012058509364
1.72,14.9855335165184
1.76,14.9335414531849
1.8,15.004863596288
1.84,15.0548930338593
1.88,15.0484536969271
1.92,15.0010005581515
1.96,14.9816706350898
2,15.0905376695977
2.04,15.0898059564527
2.08,15.0564800077719
2.12,14.99577974089
2.16,15.1016248430427
2.2,15.1224377139641
2.24,15.1036020381949
2.28,15.0460372491484
2.28,15.0460372491484
2.31,15.1360226464512
2.32,15.0609600917646
2.36,15.141017782234
2.4,15.1325594246261
2.44,15.0886307907923
2.48,15.0229878016046
2.52,15.1538956329186
2.56,15.1559950345502
2.6,15.1267659486382
2.62,15.1630595276092
2.64,15.065765139937
2.68,15.1163736645945
2.72,15.1685841427145
2.76,15.1550037450121
2.8,15.1022190678541
2.84,15.0642997952121
2.88,15.1784910692795
2.92,15.1725957325749
2.93,15.1802545796932
2.96,15.1356606990492
3,15.0713751320819
3.04,15.1608877649779
3.08,15.1862090545654
3.12,15.1667226475316
3.16,15.1064116107371
3.2,15.1201786521637
3.24,15.0901966776917
3.28,15.0637632420809
3.32,15.1871516679951
3.36,14.9487173660959
3.4,14.9811033189783
3.44,14.8738071113715
3.48,14.0317305812784
3.52,13.433854867406
3.56,12.7955944892111
3.6,13.0205636222162
3.64,13.6361092943483
3.68,14.1153867724631
3.72,14.0154286158508
3.76,12.4691369396841
3.8,11.8666033781349
3.84,11.0709048070237
3.88,11.3694349929058
3.92,11.1117766555418
3.96,10.8043126979528
4,10.429328180814
4.04,10.541030468332
4.08,10.3932159233659
4.12,10.1022270804125
4.16,9.9800296958518
4.2,9.63170970039177
4.24,8.75477060946569
4.28,8.49167544428573
4.32,8.33449184348603
4.36,8.00654269646574
