"Plot16"
"Time (sec)","Reaction Force20 (newton)"
0,-0
0.04,-0
0.08,-0
0.0900672471111267,-0
0.12,241.16842657809
0.13194216736287,187.256453372716
0.16,90.150749291277
0.2,69.899113768168
0.24,86.5362927187834
0.28,89.6233250374894
0.32,88.7707397481308
0.36,88.2496677247155
0.4,88.7900652994946
0.43,88.0899392569397
0.44,88.3756897513411
0.48,88.0401977406984
0.52,87.9209954365186
0.56,88.3942735822395
0.6,88.4769091970893
0.64,88.1141742628757
0.68,87.8555624631723
0.72,88.0103322364818
0.76,88.6035613191093
0.8,88.2433410666395
0.84,87.9356671545653
0.88,87.8855267426843
0.92,88.4939267106736
0.96,88.3671874163473
1,88.011304968308
1.02,88.6100935831675
1.04,87.8144170900893
1.08,88.1238290199838
1.12,88.5032184867214
1.16,88.1494752528394
1.2,87.8601587368313
1.24,87.8659124114141
1.28,88.6086540986523
1.32,88.275625864379
1.36,87.9451509164882
1.38,88.5260511930519
1.4,87.8159022770074
1.4,87.8159022770074
1.44,88.2515067936014
1.48,88.4163640406467
1.52,88.0606442312189
1.56,87.7987989568581
1.6,87.8812744586436
1.64,88.5525059451234
1.68,88.2049193116634
1.69,88.5027267866855
1.72,87.8952230850781
1.76,87.8188017088734
1.8,88.3877917924951
1.84,88.3435624612236
1.88,87.9905549976387
1.92,87.763662045484
1.96,88.03352371933
2,88.4901509693789
2.04,88.1394732610365
2.08,87.8475471162139
2.12,87.8324900965941
2.16,88.5334909310866
2.2,88.2761964982295
2.24,87.9417733849385
2.28,87.787178741736
2.28,87.787178741736
2.31,88.476288530681
2.32,88.1833601518266
2.36,88.4256410167073
2.4,88.0792762377686
2.44,87.8019223762738
2.48,87.853080399443
2.52,88.5657774535979
2.56,88.2204203557162
2.6,87.9046461757865
2.62,88.4707019936059
2.64,87.8116311973422
2.68,88.3375818068119
2.72,88.3658252300005
2.76,88.0125726860851
2.8,87.761769697865
2.84,87.9835529420552
2.88,88.5136200778667
2.92,88.1693732165775
2.93,88.4648577781946
2.96,87.8658491135938
3,87.8301128245032
3.04,88.4904091441642
3.08,88.3085918262695
3.12,87.9565677653214
3.16,87.7875032969078
3.2,88.1751502131088
3.24,88.4918017158835
3.28,88.1027400078795
3.32,87.8680927978792
3.36,87.8661434070273
3.4,88.6358041247827
3.44,88.1791317717103
3.48,87.3627232954466
3.52,86.7064784292117
3.56,86.4598974447618
3.6,86.4339876585384
3.64,87.5113832795743
3.68,87.4400566676816
3.72,87.1024085078764
3.76,85.5047536498035
3.8,84.1406337136366
3.84,83.3168852024139
3.88,84.14280313377
3.92,84.8755610615039
3.96,84.3366659806061
4,83.7862833876513
4.04,83.5656280118504
4.08,83.5673102866118
4.12,83.5342523935818
4.16,82.842297774423
4.2,82.1616208275365
4.24,81.4250091071447
4.28,81.7664495988955
4.32,81.1595063711082
4.36,80.290651155308
4.4,79.9636700466934
4.44,80.2869232870764
