"Plot17"
"Time (sec)","Reaction Force21 (newton)"
4.76,107.117140685157
4.8,108.166098611195
4.84,108.685380487871
4.88,108.815558408568
4.92,108.996279613799
4.96,109.280212474936
5,110.446178131841
5.04,110.978586470492
5.08,111.320529798776
5.12,111.648897381883
5.16,112.797201252968
5.2,113.311601686387
5.24,113.724125117891
5.28,114.470166188104
5.32,115.771348979517
5.36,117.082553117487
5.4,117.873595811062
5.44,117.885282510386
5.48,133.01154570963
5.52,131.915110562666
5.56,132.821588731773
5.6,134.090602347554
5.6,134.090602347554
5.64,135.838070249297
5.68,146.062678086944
5.71429026590532,148.011825735104
5.72,148.592913884589
5.76,146.531701790882
5.8,143.998174921639
5.81974047122124,141.806832414061
5.84,138.183211442946
5.87577280941668,177.847398702366
5.88,145.392561705946
5.92,122.177354777491
5.96,244.318032174099
5.97914104197675,237.657751212719
6,59.8819944303289
6.04,89.8481572198787
6.04,89.8481572198787
6.073926503205,209.134642164608
6.08,163.567705579546
6.08585481478116,127.402213457568
6.12,119.975863540757
6.15477932563582,258.26775648152
6.16,283.366265610139
6.17335563833089,264.923278664053
6.2,51.5783816210571
6.22419514337332,86.0046671927013
6.24,80.2403241040146
6.25355577562266,148.112718942286
6.26635796186688,237.344221871236
6.28,142.372277313886
6.28616510988928,120.095718550614
6.32,133.734160061981
6.36,315.869437805631
6.36927456551626,267.455444207379
6.4,51.211150248015
6.42211565134654,84.9962432362087
6.44,74.6843221751138
6.46174125057835,250.134565536311
6.47495099185759,159.863731548418
6.48,131.582509995026
6.52,143.990816508809
6.56,335.499548355151
6.6,49.4552381980061
6.62934818372995,85.4050175653368
6.64000000000001,72.2400574740492
6.65953450574512,252.319306819941
6.67398231524513,156.774398916002
6.68000000000001,125.858499093389
6.72000000000001,150.172864284036
6.76000000000001,324.964852803961
6.76000000000001,324.964852803961
6.80000000000001,52.9005603631576
6.84000000000001,71.8522561357228
6.85695669435928,243.408952004268
6.87074789389641,158.005705284748
6.88000000000001,118.776922611859
6.88126802917215,116.413178562886
6.92000000000001,157.922178051656
6.95685244935513,320.890875421079
6.96000000000001,295.022031173832
7.00000000000001,59.7208648284248
7.04000000000001,71.8071989562642
7.05364661459041,251.38704350545
7.06726120678972,160.372234131118
7.08000000000001,116.413483439148
7.12000000000001,170.093470047051
7.15627129374889,298.884693744133
7.16000000000001,216.714904967998
7.20000000000001,63.1241823397547
7.21295596843172,85.0733845627458
7.24000000000001,73.2282076951985
7.25021441915494,257.695406049694
7.27756563850906,114.115329781952
7.28000000000001,114.720196809658
7.32000000000001,181.434622947596
7.36000000000001,163.913748114072
7.40000000000001,63.7322501896351
7.41214394309538,84.5253272235367
7.44000000000001,74.5220861421386
7.44896580166764,257.502840399291
7.48000000000001,110.824809867928
7.52000000000001,182.041900941134
7.54349469231964,322.81081179218
7.56000000000001,183.507718664873
7.60000000000001,59.9476829650516
7.62132109728513,84.2917523178501
7.64000000000001,75.0985796463935
7.65178750716604,255.100343869022
7.68000000000001,113.900414983433
7.72000000000001,177.131464142046
7.74420270471014,321.116576385286
7.75499562782955,314.5106968786
7.76000000000001,196.724496715569
7.80000000000001,61.7993910579127
7.82070259122102,85.2383050072344
7.84000000000001,76.18674229986
7.85111308511399,247.649450152351
7.87504497527876,118.360791596931
7.88000000000001,118.980914709945
7.92000000000001,185.122452997764
7.94052275877055,302.111453867826
7.95210122297688,305.31730476954
7.96000000000001,135.114792551913
8.00000000000001,70.7709321015646
8.04,209.347429093289
8.04733001428058,246.713850509412
8.05936368438679,162.150873338413
8.07042240647338,117.128838934347
8.08,118.946024852548
8.12,208.471081078513
8.15112253458874,268.265422102775
8.16,78.7581890237239
8.2,78.078156793359
8.21309532874816,86.8035246629772
8.2341202107882,157.168800472841
8.24,237.825606179673
8.24450285749315,253.279086884526
8.25720818722651,162.437292835818
8.28,116.254749727458
8.32,223.072388653902
8.34587760158202,326.797311398316
8.36,65.98367178928
8.4,74.0002100083372
8.40687794349708,85.3072565242528
8.44,230.669756615211
8.44314720073914,257.628751907973
8.48,115.319053628601
8.51999999999999,224.039986427536
8.53647758367139,327.140389107071
8.55999999999999,65.1971479059735
8.59999999999999,71.3018479019014
8.6076355273715,84.4015716014442
8.63999999999999,227.239554669077
8.64228386521242,251.692201615876
8.67999999999999,115.210520609928
