"Plot22"
"Time (sec)","Velocity1 (mm/sec)"
6.64000000000001,144.087338286419
6.65953450574512,214.518314583936
6.67398231524513,211.268618428745
6.68000000000001,198.991580689591
6.72000000000001,157.822404498895
6.76000000000001,215.735913750724
6.76000000000001,215.735913750724
6.80000000000001,171.758100800388
6.84000000000001,144.103461266662
6.85695669435928,213.592357226195
6.87074789389641,211.780218743646
6.88000000000001,188.062693133674
6.88126802917215,184.213772987347
6.92000000000001,154.810288659412
6.95685244935513,213.329478467159
6.96000000000001,220.386911750904
7.00000000000001,169.062632870889
7.04000000000001,151.487765548255
7.05364661459041,211.82392346709
7.06726120678972,210.884547306138
7.08000000000001,181.002288398917
7.12000000000001,152.421136802931
7.15627129374889,221.069384796079
7.16000000000001,222.852427958131
7.20000000000001,168.715180665494
7.21295596843172,157.328409772578
7.24000000000001,162.37393932078
7.25021441915494,217.005829545833
7.27756563850906,179.109254036443
7.28000000000001,179.122151440423
7.32000000000001,152.701876317163
7.36000000000001,224.869509770744
7.40000000000001,171.186545480418
7.41214394309538,157.521814035805
7.44000000000001,168.882701604029
7.44896580166764,223.528716198808
7.48000000000001,178.355014261304
7.52000000000001,152.398280440243
7.54349469231964,175.505498764667
7.56000000000001,234.113001930276
7.60000000000001,172.727124872644
7.62132109728513,152.607852494304
7.64000000000001,160.844245880488
7.65178750716604,228.796895285765
7.68000000000001,182.303053858615
7.72000000000001,152.446231610208
7.74420270471014,174.846448273662
7.75499562782955,230.264373781491
7.76000000000001,231.018230813306
7.80000000000001,170.857035034949
7.82070259122102,153.071012831057
7.84000000000001,162.704614681979
7.85111308511399,218.360927006635
7.87504497527876,185.34205483576
7.88000000000001,183.195327449018
7.92000000000001,152.572954785776
7.94052275877055,163.064964740673
7.95210122297688,213.722251145372
7.96000000000001,212.685925965699
8.00000000000001,167.254975494333
8.04,175.107540590964
8.04733001428058,205.708178000691
8.05936368438679,207.037165453945
8.07042240647338,179.913937499714
8.08,175.158892322201
8.12,150.044614281503
8.15112253458874,219.073285908892
8.16,205.734952164671
8.2,163.012666338806
8.21309532874816,152.920965286057
8.2341202107882,158.249478763965
8.24,194.886336546946
8.24450285749315,212.70909025502
8.25720818722651,213.405805125887
8.28,173.929994242234
8.32,145.85087392603
8.34587760158202,222.930207065939
8.36,214.280642923639
8.4,166.882713590383
8.40687794349708,157.746237006741
8.44,201.060854747311
8.44314720073914,223.321969251498
8.48,179.023458631299
8.51999999999999,146.642990145695
8.53647758367139,174.410744850611
8.55999999999999,226.013175113592
8.59999999999999,168.984098854747
8.6076355273715,156.796981275593
8.63999999999999,206.872187469818
8.64228386521242,225.631039998403
8.67999999999999,182.031642607647
8.71999999999999,143.881780819363
8.73594064001711,179.383729970493
8.74625335793259,232.428922914803
8.75999999999999,222.202339881545
8.79999999999999,164.504691135582
8.80397731181991,157.818075673741
8.83738977045421,211.061286173888
8.83999999999999,213.523193933337
8.87999999999999,178.003523783894
8.91999999999999,153.225047265382
8.92638167201711,169.306396940533
8.93759516334685,217.180468031187
8.95999999999998,185.049500825153
8.99999999999998,151.132370383504
9.0257957036476,202.02777892817
9.03999999999998,222.468345759393
9.03999999999998,222.468345759393
9.07999999999998,171.158122773281
9.11999999999998,197.965227645413
9.12336948784939,203.970654359016
9.15999999999998,182.898632632404
9.18639036458876,157.562790709393
9.19999999999998,161.059964603826
9.21278033673623,199.183827730353
9.2236881634325,231.081425395492
9.23509579128441,199.911656240961
9.23999999999998,196.396634704566
9.27999999999998,152.145902885713
9.29508034604292,165.940756604621
9.31999999999998,226.425283531184
9.35999999999998,167.945648029138
9.39429203143375,222.346162754152
9.39999999999998,228.398330248171
9.40838794249967,254.122753494651
9.43999999999997,194.111472963611
9.47999999999997,172.025723219533
9.4860099383489,191.747470450691
9.51999999999997,214.143497575442
9.55999999999997,165.814943853338
9.58648784124968,224.240562594648
9.59999999999997,250.470398397569
9.63999999999997,192.726912072445
9.67999999999997,219.35689937354
9.68780591892667,234.053528362404
9.71999999999997,202.916394949741
9.75999999999997,184.722202534092
9.77435943029396,221.187931769955
9.79999999999997,213.670438883036
9.83999999999997,170.452711991976
9.86965182633803,228.996542303441
9.87999999999997,218.300282763078
9.91999999999996,178.884534556551
9.92488241427951,174.283355166773
9.95139712255881,235.1010761559
9.95999999999996,230.222333463969
9.99999999999996,189.323308930547
10.04,235.211839318353
10.0452531864184,228.523435420977
10.08,202.694288122695
10.12,243.010200290481
10.1254856018849,250.145765572925
10.16,214.106075740622
10.2,202.445391954329
10.206360860425,224.036075065353
10.2248584006248,207.354229097654
10.24,206.625436056463
10.2767680565303,199.669826396441
10.28,197.442098778549
10.32,179.422455989211
10.36,204.949431411717
10.3924904128951,202.869881653268
10.4,195.103795608379
10.4228337873709,173.06348369549
10.44,181.509633884562
10.48,214.574513988242
10.52,217.510597595256
