"Plot23"
"Time (sec)","Velocity2 (mm/sec)"
6,137.452226660902
6.04,152.052526043844
6.04,152.052526043844
6.073926503205,78.8751425179042
6.08,85.3490602820314
6.08585481478116,110.226292681707
6.12,151.19058440475
6.15477932563582,113.030935743092
6.16,103.15009428466
6.17335563833089,68.1893723109201
6.2,136.722239157085
6.22419514337332,150.256759802154
6.24,149.151973126363
6.25355577562266,102.658195938897
6.26635796186688,69.8857080270208
6.28,99.5100796942767
6.28616510988928,103.116021547463
6.32,151.40875483302
6.36,82.9187276476209
6.36927456551626,53.5932935997672
6.4,138.590373116985
6.42211565134654,150.411646945958
6.44,140.75372326501
6.46174125057835,66.4129502797785
6.47495099185759,91.4128875480876
6.48,106.488930202387
6.52,150.852774522388
6.56,66.091192836523
6.6,139.973021620719
6.62934818372995,150.176124676194
6.64000000000001,133.8322287533
6.65953450574512,59.2550548835824
6.67398231524513,89.0827884110102
6.68000000000001,103.535950650048
6.72000000000001,151.017164714519
6.76000000000001,51.7544770040292
6.76000000000001,51.7544770040292
6.80000000000001,143.737057428553
6.84000000000001,124.78339257993
6.85695669435928,58.1294155770581
6.87074789389641,84.2653203206183
6.88000000000001,96.853156431542
6.88126802917215,95.5117549283697
6.92000000000001,150.367102198046
6.95685244935513,53.7886308748351
6.96000000000001,42.9925049202794
7.00000000000001,148.341345962627
7.04000000000001,112.941484959603
7.05364661459041,59.7968627095557
7.06726120678972,90.3954863294441
7.08000000000001,106.060636316159
7.12000000000001,149.819936826406
7.15627129374889,43.8683376733454
7.16000000000001,55.7428105214771
7.20000000000001,150.694207097352
7.21295596843172,151.004006280516
7.24000000000001,100.248485085817
7.25021441915494,63.5968352351515
7.27756563850906,95.862315689946
7.28000000000001,109.233167851188
7.32000000000001,150.615275825444
7.36000000000001,68.4926615384812
7.40000000000001,151.660193944424
7.41214394309538,150.344466157659
7.44000000000001,91.702860921514
7.44896580166764,57.2025907575799
7.48000000000001,94.1614792069181
7.52000000000001,149.480348638247
7.54349469231964,72.8016232560049
7.56000000000001,55.6264828083009
7.60000000000001,150.355389114821
7.62132109728513,150.191249086841
7.64000000000001,100.226055899558
7.65178750716604,46.599732006625
7.68000000000001,93.5636759756375
7.72000000000001,149.476265300896
7.74420270471014,74.2976391938177
7.75499562782955,34.7819942207692
7.76000000000001,52.0107122465396
7.80000000000001,151.425925652636
7.82070259122102,150.998426514569
7.84000000000001,100.539092878208
7.85111308511399,52.1554004858756
7.87504497527876,95.7853207258443
7.88000000000001,120.121641967099
7.92000000000001,151.094358444837
7.94052275877055,86.8828777962592
7.95210122297688,49.8090515567569
7.96000000000001,77.8410017696516
8.00000000000001,154.836134303461
8.04,85.7927240612315
8.04733001428058,63.5096367434769
8.05936368438679,90.8592332925518
8.07042240647338,100.694725696067
8.08,134.114757887213
8.12,148.325522738939
8.15112253458874,50.5622193148137
8.16,102.516751773593
8.2,152.590965731638
8.21309532874816,151.047019571236
8.2341202107882,89.1023312407188
8.24,75.1130301020303
8.24450285749315,59.6542700319012
8.25720818722651,90.568806299618
8.28,130.376844258155
8.32,142.549900246867
8.34587760158202,49.8740661678636
8.36,101.217889876126
8.4,152.592095756366
8.40687794349708,149.977472312609
8.44,66.0607094087119
8.44314720073914,58.1462541950964
8.48,124.920420106251
8.51999999999999,143.416975692857
8.53647758367139,74.2114392606804
8.55999999999999,99.6946923244447
8.59999999999999,153.08638086482
8.6076355273715,148.942493710538
8.63999999999999,63.3884237187231
8.64228386521242,58.0121526822196
8.67999999999999,127.381398219358
8.71999999999999,139.279444079471
8.73594064001711,73.8290823240499
8.74625335793259,36.5048111226818
8.75999999999999,108.749756135213
8.79999999999999,154.209668726566
8.80397731181991,151.269550559454
8.83738977045421,67.2414302512757
8.83999999999999,55.0984784944864
8.87999999999999,152.074338605805
8.91999999999999,122.784739677733
8.92638167201711,91.9249073462006
8.93759516334685,63.8317694863085
8.95999999999998,119.169742144586
8.99999999999998,148.20292560604
9.0257957036476,78.8205236521977
9.03999999999998,129.605061954463
9.03999999999998,129.605061954463
9.07999999999998,158.075780352654
9.11999999999998,90.6752296231515
