"Plot18"
"Time (sec)","Reaction Force22 (newton)"
4.4,28.2068224701141
4.44,28.1717917753783
4.48,28.3721282664664
4.52,28.7329861310098
4.56,28.7762112067226
4.6,28.695371943968
4.64,28.9397179679239
4.68,29.7107200830421
4.72,29.0956558873428
4.76,29.4038347611531
4.76,29.4038347611531
4.8,28.2471288088751
4.84,27.8853029446721
4.88,27.8920495071665
4.92,30.1623189453716
4.96,31.4031497832383
5,27.3220807353904
5.04,26.884893536401
5.08,27.781325491386
5.12,28.2716493846516
5.16,27.7663220532522
5.2,27.7367527114829
5.24,26.7164004895498
5.28,26.178165787762
5.32,24.8187858877812
5.36,24.2101039568243
5.4,25.8305953550287
5.44,22.3803279269156
5.48,12.0825010708378
5.52,14.3343528971895
5.56,16.8237949360795
5.6,15.7327232757857
5.6,15.7327232757857
5.64,15.555988719717
5.68,1.55431019473184e-15
5.71429026590532,-6.5583114058288e-15
5.72,4.69990510999976e-15
5.76,4.80690617447896e-15
5.8,-1.51608371809365e-15
5.81974047122124,-5.22741093263313e-18
5.84,-9.02881920089414e-16
5.87577280941668,-2.12040953461156e-19
5.88,5.36877810860173e-15
5.92,-1.0556317094232e-15
5.96,1.91927939804226e-15
5.97914104197675,1.04548748340922e-14
6,-2.0001918381071e-17
6.04,-6.21134796946445e-17
6.04,-6.21134796946445e-17
6.073926503205,-9.78309301914533e-17
6.08,-1.04225041008219e-16
6.08585481478116,-1.10388925799123e-16
6.12,-1.46336602321789e-16
6.15477932563582,-1.82951894920726e-16
6.16,-1.88448163635361e-16
6.17335563833089,-2.02508833196684e-16
6.2,-2.3055972494893e-16
6.22419514337332,-2.56032106540326e-16
6.24,-2.72671286262501e-16
6.25355577562266,-2.86942658169666e-16
6.26635796186688,-3.00420659443942e-16
6.28,-3.14782847576074e-16
6.28616510988928,-3.21273407653758e-16
6.32,-3.56894408889651e-16
6.36,-3.99005970203228e-16
6.36927456551626,-4.08770131063097e-16
6.4,-4.41117531516793e-16
6.42211565134654,-4.64400646708525e-16
6.44,-4.83229092830374e-16
6.46174125057835,-5.0611804299947e-16
6.47495099185759,-5.20025113744895e-16
6.48,-5.25340654143945e-16
6.52,-5.6745221545752e-16
6.56,-6.09563776771092e-16
6.6,-6.51675338084669e-16
6.62934818372995,-6.82572784049307e-16
6.64000000000001,-6.93786899398239e-16
6.65953450574512,-7.14352612808637e-16
6.67398231524513,-7.29563108198796e-16
6.68000000000001,-7.35898460711812e-16
6.72000000000001,-7.78010022025392e-16
6.76000000000001,-8.20121583338965e-16
6.76000000000001,-8.20121583338965e-16
6.80000000000001,-8.62233144652542e-16
6.84000000000001,-9.04344705966117e-16
6.85695669435928,-9.22196527820767e-16
6.87074789389641,-9.36715751443152e-16
6.88000000000001,-9.46456267279688e-16
6.88126802917215,-9.47791234485444e-16
6.92000000000001,-9.88567828593259e-16
6.95685244935513,-1.0273656831076e-15
6.96000000000001,-1.03067938990683e-15
7.00000000000001,-1.07279095122041e-15
7.04000000000001,-1.11490251253398e-15
7.05364661459041,-1.12926951871015e-15
7.06726120678972,-1.14360281206417e-15
7.08000000000001,-1.15701407384756e-15
7.12000000000001,-1.19912563516114e-15
7.15627129374889,-1.23731165542686e-15
7.16000000000001,-1.24123719647472e-15
7.20000000000001,-1.28334875778829e-15
7.21295596843172,-1.29698865926302e-15
7.24000000000001,-1.32546031910187e-15
7.25021441915494,-1.336213947565e-15
7.27756563850906,-1.3650090113358e-15
7.28000000000001,-1.36757188041544e-15
7.32000000000001,-1.40968344172901e-15
7.36000000000001,-1.45179500304259e-15
7.40000000000001,-1.49390656435615e-15
7.41214394309538,-1.50669157446239e-15
7.44000000000001,-1.53601812566973e-15
7.44896580166764,-1.54545722333603e-15
7.48000000000001,-1.57812968698331e-15
7.52000000000001,-1.62024124829688e-15
7.54349469231964,-3.36050848451571e-15
7.56000000000001,2.71843869166249e-17
7.60000000000001,-1.53304211413929e-15
7.62132109728513,-6.89084693865559e-15
7.64000000000001,2.72108602320237e-15
7.65178750716604,5.68868157534533e-15
7.68000000000001,1.35001399279647e-17
7.72000000000001,2.00840279480386e-16
7.74420270471014,4.20775531456532e-16
7.75499562782955,5.36791774870512e-16
7.76000000000001,5.90585221335893e-16
7.80000000000001,1.02055681124306e-15
7.82070259122102,1.24309496280549e-15
7.84000000000001,1.45052840115021e-15
7.85111308511399,1.56998617303101e-15
7.87504497527876,1.82723699462181e-15
7.88000000000001,1.88049999105741e-15
7.92000000000001,2.31047158096451e-15
7.94052275877055,2.53107666141077e-15
7.95210122297688,2.65553692799778e-15
7.96000000000001,2.74044317087164e-15
8.00000000000001,3.17041476077881e-15
8.04,-1.15364114178324e-14
8.04733001428058,-6.82277906614712e-17
8.05936368438679,4.28247728437364e-20
8.07042240647338,-1.87980933043078e-15
8.08,-1.10582410489422e-18
8.12,2.93701370088074e-20
8.15112253458874,-5.62650182177096e-16
8.16,-8.31397882845067e-15
8.2,-1.07914891418981e-15
8.21309532874816,3.49035043966722e-15
8.2341202107882,-3.38959918140601e-15
8.24,-1.54757917931928e-17
8.24450285749315,-3.22092842128782e-15
8.25720818722651,-1.01206857585727e-17
8.28,-6.47390957479491e-16
8.32,-2.16552456058667e-15
8.34587760158202,-3.14766597382365e-15
8.36,-3.6836581636934e-15
8.4,-5.2017917668007e-15
8.40687794349708,-5.46283269538059e-15
8.44,-6.71992536990764e-15
8.44314720073914,-6.83937214985298e-15
8.48,-8.23805897301515e-15
8.51999999999999,8.06274557951221e-16
8.53647758367139,-7.55671802628232e-15
8.55999999999999,5.6277829603232e-16
8.59999999999999,5.73715819595599e-15
8.6076355273715,9.84642846877707e-15
8.63999999999999,-8.16372647006075e-17
8.64228386521242,-1.725517554642e-16
8.67999999999999,-1.67392896858683e-15
8.71999999999999,-3.2662206724729e-15
8.73594064001711,-3.90077439382044e-15
8.74625335793259,-4.31129577335384e-15
8.75999999999999,-4.85851237635909e-15
8.79999999999999,-6.4508040802449e-15
8.80397731181991,-6.60913009561065e-15
8.83738977045421,-7.93918961285635e-15
8.83999999999999,-8.04309578413108e-15
8.87999999999999,1.59307284120737e-15
8.91999999999999,2.32591408309199e-15
8.92638167201711,4.92666419939859e-15
8.93759516334685,1.03364031192359e-14
8.95999999999998,-1.58554843457394e-15
8.99999999999998,1.35323097337253e-15
9.0257957036476,4.09240083266005e-15
9.03999999999998,5.96132751209701e-15
9.03999999999998,5.96132751209701e-15
9.07999999999998,1.12243173373501e-14
9.11999999999998,-3.22460138257243e-15
9.12336948784939,5.71790244142486e-15
9.15999999999998,-1.10665763223182e-15
9.18639036458876,2.05640518159236e-15
9.19999999999998,-4.27849649944967e-15
9.21278033673623,2.88786225192499e-15
9.2236881634325,-3.04301087493168e-15
9.23509579128441,-2.7495722030567e-16
9.23999999999998,-8.29808905944704e-16
9.27999999999998,-1.60837732765615e-17
9.29508034604292,5.53549956023479e-16
9.31999999999998,2.55754888782159e-15
9.35999999999998,5.77428562920066e-15
9.39429203143375,8.53199656543877e-15
9.39999999999998,8.99102237057934e-15
9.40838794249967,9.66556744116314e-15
9.43999999999997,1.22077591119592e-14
9.47999999999997,6.14958442649807e-15
9.4860099383489,3.3163444259883e-15
9.51999999999997,1.23383149822104e-17
9.55999999999997,-2.58599351517555e-16
9.58648784124968,4.81241323679566e-15
9.59999999999997,1.55898681782204e-18
9.63999999999997,-1.22905385366673e-14
9.67999999999997,-3.82061724967434e-18
9.68780591892667,9.41742593865277e-17
9.71999999999997,4.98336156635934e-16
9.75999999999997,1.00049293052169e-15
9.77435943029396,1.18076006030339e-15
9.79999999999997,1.50264970440761e-15
9.83999999999997,2.00480647829311e-15
9.86965182633803,2.37705311463663e-15
9.87999999999997,2.50696325217859e-15
9.91999999999996,3.00912002606433e-15
9.92488241427951,3.070413461149e-15
9.95139712255881,3.4032769704004e-15
9.95999999999996,3.51127679995012e-15
9.99999999999996,4.01343357383578e-15
10.04,4.51559034772159e-15
10.0452531864184,4.58153842633468e-15
10.08,5.01774712160702e-15
10.12,5.51990389549277e-15
10.1254856018849,5.58876969912649e-15
10.16,6.02206066937831e-15
10.2,6.52421744326408e-15
10.206360860425,6.60407117201794e-15
10.2248584006248,6.83628779980751e-15
10.24,7.02637421714974e-15
10.2767680565303,7.48795743338325e-15
10.28,7.52853099103541e-15
10.32,8.03068776492103e-15
10.36,8.53284453880674e-15
10.3924904128951,8.94072656184767e-15
10.4,9.0350013126924e-15
10.4228337873709,9.32165483773772e-15
10.44,9.53715808657818e-15
10.48,1.00393148604638e-14
10.52,1.05414716343495e-14
10.56,1.10436284082353e-14
10.5999999999999,1.1545785182121e-14
10.6399999999999,1.20479419560068e-14
10.6647845590339,1.23590853111741e-14
10.6799999999999,1.25500987298925e-14
