"Plot21"
"Time (sec)","Reaction Force27 (newton)"
0,-0
0.04,-0
0.08,238.628503626485
0.0900672471111267,244.766299200259
0.12,241.967211879056
0.13194216736287,182.541968860516
0.16,99.8357955112151
0.2,96.3364368324666
0.24,105.330711322459
0.28,108.040960551214
0.32,107.281311519451
0.36,106.632336102862
0.4,107.013101685535
0.43,105.982343055753
0.44,106.244975119412
0.48,105.598921415713
0.52,105.242866221489
0.56,105.552278251835
0.6,105.40247587016
0.64,104.77083244515
0.68,104.313841778674
0.72,104.331808381234
0.76,104.819367195273
0.8,104.239709352285
0.84,103.767285429793
0.88,103.608259038958
0.92,104.16753530713
0.96,103.889979976137
1,103.387057750061
1.02,104.028969838782
1.04,103.099356892736
1.08,103.365478840643
1.12,103.687057919604
1.16,103.202203610107
1.2,102.83181391627
1.24,102.795540858754
1.28,103.549837614481
1.32,103.098548696782
1.36,102.6868107281
1.38,103.317549706288
1.4,102.522315467778
1.4,102.522315467778
1.44,102.964076893006
1.48,103.084136400686
1.52,102.643294097308
1.56,102.342829304725
1.6,102.418312686548
1.64,103.110435560065
1.68,102.677521503033
1.69,103.016749495395
1.72,102.322983519162
1.76,102.238696977029
1.8,102.840856208195
1.84,102.747146999372
1.88,102.336556101951
1.92,102.094074637113
1.96,102.381725128629
2,102.85026400939
2.04,102.433794232167
2.08,102.117828335567
2.12,102.109520676891
2.16,102.861090983864
2.2,102.540479097843
2.24,102.167059445459
2.28,102.012541901665
2.28,102.012541901665
2.31,102.748385621462
2.32,102.442309685752
2.36,102.67933637412
2.4,102.280491708705
2.44,101.991584654717
2.48,102.057673490284
2.52,102.81845879556
2.56,102.409897386676
2.6,102.068094499807
2.62,102.691920876958
2.64,101.984255151088
2.68,102.556136324169
2.72,102.559312962758
2.76,102.162395769331
2.8,101.907755206502
2.84,102.15539033133
2.88,102.715178847556
2.92,102.316754807434
2.93,102.655171887392
2.96,101.997257775807
3,101.975644116694
3.04,102.69092146183
3.08,102.462860429784
3.12,102.076315777302
3.16,101.911598088761
3.2,102.306269806664
3.24,102.67705100678
3.28,102.275483117177
3.32,101.981477834212
3.36,102.146857817577
3.4,102.952641700641
3.44,102.627746290942
3.48,102.385869335541
3.52,102.602672433368
3.56,103.24708536536
3.6,103.504781777861
3.64,103.063264013382
3.68,102.953737103811
3.72,103.278398672652
3.76,104.161815577032
3.8,103.892408815556
3.84,103.625936982662
3.88,103.715638146878
3.92,104.422932899943
3.96,104.487253863626
4,104.40230875568
4.04,104.432493552455
4.08,104.977537519515
4.12,105.615900145345
4.16,105.440269402334
4.2,105.37304831978
4.24,105.710994234393
4.28,106.831198458519
4.32,106.637832144745
4.36,106.501185076274
4.4,106.727103677338
4.44,107.474436017517
4.48,107.863024315477
4.52,107.704419831163
4.56,107.816322452374
4.6,108.269496026049
4.64,109.23162172579
4.68,109.112333298247
4.72,109.215722539907
4.76,109.442349602282
